device location,device type,accuracy value,first seen date,most recent date accessed,temperature,highest value,highest date,lowest value,lowest date
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:36,18.25,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:36,22.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:37,23.1875,43.5,2023/01/16-18:10:52,23.1875,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:20:38,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:39,19.0,46.1875,2023/01/16-18:10:52,19.0,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:41,18.25,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:42,22.4375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:42,23.125,43.5,2023/01/16-18:10:52,23.125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:20:43,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:44,19.0,46.1875,2023/01/16-18:10:52,19.0,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:46,18.25,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:47,22.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:47,23.125,43.5,2023/01/16-18:10:52,23.125,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:20:48,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:49,19.0,46.1875,2023/01/16-18:10:52,19.0,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:51,18.25,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:52,22.375,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
3/4inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:52,23.0625,43.5,2023/01/16-18:10:52,23.0625,2023/01/17-09:20:25
Furnace flue temp,40,9,2023/01/16-18:10:52,2023/01/17-09:20:53,18.125,121.1875,2023/01/16-18:10:52,17.8125,2023/01/16-18:10:52
HVAC output air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:54,19.0,46.1875,2023/01/16-18:10:52,19.0,2023/01/17-09:20:25
HVAC return air,40,9,2023/01/16-18:10:52,2023/01/17-09:20:56,18.25,20.125,2023/01/16-18:10:52,17.875,2023/01/16-18:10:52
3/8inch copper coolant coil,40,9,2023/01/16-18:10:52,2023/01/17-09:20:57,22.3125,30.9375,2023/01/16-18:10:52,19.5,2023/01/16-18:10:52
